"tap","variant","singleCanAvailable","name","type","abv","glass","price","description","image","hops"
"1","rooted","FALSE","Rooted","Mexican Lager","4","stein","6","Barrel and Flow collaboration with Catapult Pgh. This light Mexican lager finishes dry with a subtle touch of lime zest.","TRUE","Motueka™ CGX™"
"2","samo","FALSE","Samo","Pilsner","4.8","stein","6","Pours pale gold with subtle bread aromas, balanced by floral and spicy notes and a touch of lemon zest.","TRUE","Sterling"
"3","sonnen","FALSE","Sonnen","Märzen","5.4","stein","7","Plush tan head, a subtle sweetness of toasted malt, medium body.","TRUE",""
"4","lupula","FALSE","Lupula","India Pale Ale","7","pint","7","Pineapple, mango, and grapefruit. Aromatic.","TRUE","Motueka™, Moutere™, Riwaka™"
"5","akko","FALSE","Akko","India Pale Ale","7","pint","7","Pineapple and orange mango, bursting with peach ring candies. ","TRUE","Comet, Galaxy®, Citra®"
"6","ddh-lupula","FALSE","DDH Lupula","India Pale Ale","7","pint","8","Double dry hopped with Motueka™, Moutere™, and Riwaka™","TRUE",""
"7","ddh-taupo","FALSE","DDH Taupō","India Pale Ale","7","pint","8","Double dry hopped with Wakatu™, Riwaka™, Citra®, Simcoe®","TRUE","Wakatu™, Riwaka™, Citra®, Simcoe®"
"8","ddh-akko","FALSE","DDH Akko","India Pale Ale","7","pint","8","Double dry hopped with Mega Motueka™, Nelson Sauvin™, Citra®, Galaxy®","TRUE","Mega Motueka, Nelson Sauvin™, Citra®, Galaxy®"
"9","rubico","FALSE","Rubico","Double IPA","8.5","pint","8","Pineapple, peach rings, bubblegum, strawberry and citrus.","TRUE","Mosaic®, Galaxy®, Citra®"
"10","double-lupula","FALSE","Double Lupula","Double IPA","8.4","pint","8","More hops, more malt, more everything. Everything Lupula is and more.","TRUE","Motueka™, Moutere™, Riwaka™"
