"tap","variant","singleCanAvailable","name","type","abv","glass","price","description","image","hops"
"1","vespero","FALSE","Vespero","Czech Dark Lager","5.8","stein","6","Roasted chestnut, chocolate and raisin. Ruby hue and a hint of noble hops.","TRUE","Saaz"
"2","verus","FALSE","Verus","India Pale Ale","7","pint","7","Tropical fruit notes balanced with pear, melon, blueberry and citrus.","TRUE","Erebus™, Calypso™, Citra®"
"3","sonnen","FALSE","Sonnen","Märzen","5.4","stein","6","Plush tan head, a subtle sweetness of toasted malt, medium body.","TRUE",""
"4","lupula","FALSE","Lupula","India Pale Ale","7","pint","7","Pineapple, mango, and grapefruit.","TRUE","Motueka™, Moutere™, Riwaka™"
"5","akko","FALSE","Akko","India Pale Ale","7","pint","7","Pineapple and orange mango, notes of peach ring candies. ","TRUE","Comet, Galaxy®, Citra®"
"6","ddh-lupula","FALSE","DDH Lupula","India Pale Ale","7","pint","8","Double dry hopped Lupula. Notes of Pineapple, mango, and grapefruit. Aromatic.","TRUE","Motueka™, Moutere™, Riwaka™"
"7","ddh-akko","FALSE","DDH Akko","India Pale Ale","7","pint","8","Double dry hopped variant of Akko. Pineapple and orange mango, bursting with peach ring candies. ","TRUE","Mega Motueka, Nelson Sauvin™, Citra®, Galaxy®"
"8","ddh-taupo","FALSE","DDH Taupō","India Pale Ale","7","pint","8","Double dry hopped variant of Taupō. Tropical passion fruit, red grapefruit, and zested orange.","TRUE","Wakatu™, Riwaka™, Citra®, Simcoe®"
"9","rubico","FALSE","Rubico","Double IPA","8.5","pint","8","Pineapple, peach rings, bubblegum, strawberry and citrus.","TRUE","Mosaic®, Galaxy®, Citra®"
"10","double-lupula","FALSE","Double Lupula","Double IPA","8.4","pint","8","More hops, more malt, more everything. Everything Lupula is and more.","TRUE","Motueka™, Moutere™, Riwaka™"
